zone;nom;categorie;telephone;lien_whatsapp;emplacement;rue;email;reseau;priorite;statut
Coleah / Matoto sud;City Marley Four;bakery;+224661012525;https://wa.me/224661012525;https://www.google.com/maps?q=9.5370819,-13.6762606;;;;normale;à contacter
Coleah / Matoto sud;ETS. DIALI;computer;+224664302010;https://wa.me/224664302010;https://www.google.com/maps?q=9.5304016,-13.681899;;;;normale;à contacter
Coleah / Matoto sud;Restaurant Vietnam HaNoi;restaurant;+224664298299;https://wa.me/224664298299;https://www.google.com/maps?q=9.526367,-13.6829239;;;;normale;à contacter
Kagbelen / est;Pâtisserie Sougue;pastry;+224622561353;https://wa.me/224622561353;https://www.google.com/maps?q=9.6623104,-13.5309881;;;;normale;à contacter
Kagbelen / est;Restaurant foody's;restaurant;+224622238218;https://wa.me/224622238218;https://www.google.com/maps?q=9.6677193,-13.5246534;;;;normale;à contacter
Kagbelen / est;le calypso;fast_food;+224628021002;https://wa.me/224628021002;https://www.google.com/maps?q=9.650075,-13.5499028;;;;normale;à contacter
Kaloum / Almamya;île des joies;restaurant;+224664385652;https://wa.me/224664385652;https://www.google.com/maps?q=9.5076134,-13.7131572;;;Corniche Nord;haute;à contacter
Kaloum / Almamya;Agadir;restaurant;+224664606025;https://wa.me/224664606025;https://www.google.com/maps?q=9.5082284,-13.7149335;;;;normale;à contacter
Kaloum / Almamya;Bijouterie Rayon d'or;jewelry;+224628887127;https://wa.me/224628887127;https://www.google.com/maps?q=9.5163717,-13.6982785;;;;normale;à contacter
Kaloum / Almamya;Magasin de téléphonie mobile Huawei;mobile_phone;+224622555654;https://wa.me/224622555654;https://www.google.com/maps?q=9.5094255,-13.7128393;;;;normale;à contacter
Kaloum / Almamya;RFC Kaloum;restaurant;+224626502579;https://wa.me/224626502579;https://www.google.com/maps?q=9.5107342,-13.7060928;;;;normale;à contacter
Kaloum / Almamya;Tamaraj Boutique;supermarket;+224621319292;https://wa.me/224621319292;https://www.google.com/maps?q=9.5103949,-13.7126334;;;;normale;à contacter
Kipé / Kaporo;Brioche de Kipé;fast_food;+224626636629;https://wa.me/224626636629;https://www.google.com/maps?q=9.6051646,-13.6445322;;labriochedekipe@yahoo.fr;;haute;à contacter
Kipé / Kaporo;Moka Restaurant;restaurant;+224624750134;https://wa.me/224624750134;https://www.google.com/maps?q=9.5765594,-13.6239715;;restaurantmoka6@gmail.com;;haute;à contacter
Kipé / Kaporo;BERLINER LOUNGE & RESTAURANT;restaurant;+224620883811;https://wa.me/224620883811;https://www.google.com/maps?q=9.6030478,-13.6409287;;;;normale;à contacter
Kipé / Kaporo;Bleu Game Shop;wholesale;+224628790069;https://wa.me/224628790069;https://www.google.com/maps?q=9.6047888,-13.6437991;;;;normale;à contacter
Kipé / Kaporo;Fast-food Kolima;fast_food;+224621534855;https://wa.me/224621534855;https://www.google.com/maps?q=9.5987604,-13.6398267;;;;normale;à contacter
Kipé / Kaporo;Le Scred Lounge;restaurant;+224625299398;https://wa.me/224625299398;https://www.google.com/maps?q=9.6069159,-13.6467491;;;;normale;à contacter
Kipé / Kaporo;Mabalka Investment LTD;fashion_accessories;+224627585377;https://wa.me/224627585377;https://www.google.com/maps?q=9.6131118,-13.6438148;;;;normale;à contacter
Kipé / Kaporo;Magic Joe;restaurant;+224626904588;https://wa.me/224626904588;https://www.google.com/maps?q=9.6003996,-13.6530241;;;;normale;à contacter
Kipé / Kaporo;Top Diamon Coiffure;beauty;+224622687948;https://wa.me/224622687948;https://www.google.com/maps?q=9.6038414,-13.6421007;;;;normale;à contacter
Madina;Kaalatec;computer;+224628271119;https://wa.me/224628271119;https://www.google.com/maps?q=9.5466732,-13.6703556;;Kaalatec@gmail.com;Kaalatec;haute;à contacter
Madina;Les délices du Maroc;restaurant;+224626422043;https://wa.me/224626422043;https://www.google.com/maps?q=9.5462053,-13.6784077;;patisseriedelice.ma@gmail.com;;haute;à contacter
Madina;Imprimerie MAB;books;+224625727391 / +224657615623;https://wa.me/224625727391;https://www.google.com/maps?q=9.5470118,-13.6721602;;;;normale;à contacter
Madina;Kambaya Chez Madame Cissé;restaurant;+224669335443;https://wa.me/224669335443;https://www.google.com/maps?q=9.5535252,-13.6703464;;;;normale;à contacter
Madina;Les Jumelles;beauty;+224626059665;https://wa.me/224626059665;https://www.google.com/maps?q=9.5505526,-13.676322;;;;normale;à contacter
Madina;Meilun Original;motorcycle;+224627010194;https://wa.me/224627010194;https://www.google.com/maps?q=9.5422302,-13.6620583;;;;normale;à contacter
Madina;Mille & Merveille;boutique;+224662860732;https://wa.me/224662860732;https://www.google.com/maps?q=9.5495463,-13.6764777;;;;normale;à contacter
Madina;Restaurant filles d'élite UGANC;restaurant;+224621084724;https://wa.me/224621084724;https://www.google.com/maps?q=9.5441083,-13.6780922;;;;normale;à contacter
Madina;Tecno;mobile_phone;+224622333338;https://wa.me/224622333338;https://www.google.com/maps?q=9.5389183,-13.6736347;;;;normale;à contacter
Madina;Touba couture;tailor;+224624351135;https://wa.me/224624351135;https://www.google.com/maps?q=9.5504558,-13.6734295;;;;normale;à contacter
Matam;Computec;computer;+224622323264;https://wa.me/224622323264;https://www.google.com/maps?q=9.5628192,-13.6415566;;computecgn@yahoo.com;Computec;haute;à contacter
Matam;Fatima Make-up;hairdresser;+224622747896;https://wa.me/224622747896;https://www.google.com/maps?q=9.5684819,-13.6389736;;condefadi@gmail.com;;haute;à contacter
Matam;Restaurant Twins;restaurant;+224620838366;https://wa.me/224620838366;https://www.google.com/maps?q=9.5534411,-13.6477659;;twinsdeen2014@gmail.com;;haute;à contacter
Matam;Centre Commercial Laye Kebe;mall;+224666318488;https://wa.me/224666318488;https://www.google.com/maps?q=9.5554781,-13.6582162;;;;normale;à contacter
Matam;Restaurant Aïssatou Nabe;restaurant;+224625821383;https://wa.me/224625821383;https://www.google.com/maps?q=9.5702841,-13.6305935;;;;normale;à contacter
Matam;Restaurant Bérété & frère;fast_food;+224623894662;https://wa.me/224623894662;https://www.google.com/maps?q=9.5680946,-13.6398534;;;;normale;à contacter
Matam;transport motorisé roulant;car;+224625878941;https://wa.me/224625878941;https://www.google.com/maps?q=9.5479428,-13.6540822;;;;normale;à contacter
Nongo / Lambanyi;Choix des reines chez MK;beauty;+224620622648;https://wa.me/224620622648;https://www.google.com/maps?q=9.6373262,-13.6149647;;;Choix des Reines chez MK;haute;à contacter
Nongo / Lambanyi;Pain Quotidien;bakery;+224629715454;https://wa.me/224629715454;https://www.google.com/maps?q=9.6327954,-13.6253675;;lepainquotidiengn@gmail.com;;haute;à contacter
Nongo / Lambanyi;Restaurant le Paname;restaurant;+224622593429;https://wa.me/224622593429;https://www.google.com/maps?q=9.6313784,-13.6286194;;kalyelhadji@gmail.com;;haute;à contacter
Nongo / Lambanyi;Ami Coiffure;hairdresser;+224622013632;https://wa.me/224622013632;https://www.google.com/maps?q=9.6369485,-13.6110909;;;;normale;à contacter
Nongo / Lambanyi;BIG Fataya;restaurant;+224622073838;https://wa.me/224622073838;https://www.google.com/maps?q=9.6283926,-13.6317832;;;;normale;à contacter
Nongo / Lambanyi;City Lounge Premium;bar;+224610020259;https://wa.me/224610020259;https://www.google.com/maps?q=9.6343434,-13.6239893;;;;normale;à contacter
Nongo / Lambanyi;Dimoh Café & Restaurant;restaurant;+224610622967;https://wa.me/224610622967;https://www.google.com/maps?q=9.6163895,-13.6336692;;;;normale;à contacter
Nongo / Lambanyi;Restaurant Best & Friend's;restaurant;+224621245445;https://wa.me/224621245445;https://www.google.com/maps?q=9.6389041,-13.6170874;;;;normale;à contacter
Nongo / Lambanyi;Restaurant Djerin;restaurant;+224620972796;https://wa.me/224620972796;https://www.google.com/maps?q=9.5994713,-13.6135002;;;;normale;à contacter
Nongo / Lambanyi;Restaurant Kady;restaurant;+224664616008;https://wa.me/224664616008;https://www.google.com/maps?q=9.6387887,-13.6159497;;;;normale;à contacter
Nongo / Lambanyi;Restaurant Olive;restaurant;+224611823282;https://wa.me/224611823282;https://www.google.com/maps?q=9.6185165,-13.6216696;;;;normale;à contacter
Nongo / Lambanyi;Restaurant Samuel;restaurant;+224662602013;https://wa.me/224662602013;https://www.google.com/maps?q=9.6382113,-13.6153508;;;;normale;à contacter
Nongo / Lambanyi;Restaurant Super Délice;restaurant;+224620076135;https://wa.me/224620076135;https://www.google.com/maps?q=9.615789,-13.632455;;;;normale;à contacter
Nongo / Lambanyi;Restaurant city bar TMI;fast_food;+224625241534;https://wa.me/224625241534;https://www.google.com/maps?q=9.6345259,-13.6235602;;;;normale;à contacter
Sonfonia;Alimentation Générale;boutique;+224621403872;https://wa.me/224621403872;https://www.google.com/maps?q=9.6709521,-13.5813788;;;;normale;à contacter
Sonfonia;Café_Bar Mouctar Bah;cafe;+224624331139;https://wa.me/224624331139;https://www.google.com/maps?q=9.6707148,-13.5813667;;;;normale;à contacter
Sonfonia;Christine Coiffure;beauty;+224626961320 / +224664558557;https://wa.me/224626961320;https://www.google.com/maps?q=9.6708137,-13.5812356;;;;normale;à contacter
Sonfonia;Institut de beauté ALIMA coiffure;hairdresser;+224621529291;https://wa.me/224621529291;https://www.google.com/maps?q=9.6672341,-13.5610225;;;;normale;à contacter
Sonfonia;Librairie chez Mamadou Diallo;books;+224628447390;https://wa.me/224628447390;https://www.google.com/maps?q=9.6674742,-13.5609893;;;;normale;à contacter
Sonfonia;NEW GLOBAL VISION GUINEE;travel_agency;+224622960960;https://wa.me/224622960960;https://www.google.com/maps?q=9.6695658,-13.5586112;;;;normale;à contacter
Sonfonia;Restaurant Mme Traoré Mama Saran;restaurant;+224620854722;https://wa.me/224620854722;https://www.google.com/maps?q=9.6708487,-13.5840645;;;;normale;à contacter
Sonfonia;Restaurant SansFrancisco;restaurant;+224610107101;https://wa.me/224610107101;https://www.google.com/maps?q=9.6646992,-13.5929054;;;;normale;à contacter
Sonfonia;Restaurant fast food Miré;restaurant;+224623925179;https://wa.me/224623925179;https://www.google.com/maps?q=9.669728,-13.585244;;;;normale;à contacter
Sonfonia;Rive bleu;restaurant;+224623276642;https://wa.me/224623276642;https://www.google.com/maps?q=9.6727255,-13.5639827;;;;normale;à contacter
Sonfonia;Salon de Coiffure Mimi;beauty;+224620585080 / +224664243429;https://wa.me/224620585080;https://www.google.com/maps?q=9.6706743,-13.5813299;;;;normale;à contacter
Sonfonia;Salon de coiffure Ibrahima Sory Sylla;beauty;+224621362187;https://wa.me/224621362187;https://www.google.com/maps?q=9.6670442,-13.5777613;;;;normale;à contacter
Sonfonia;Salon de coiffure lims;beauty;+224621875301;https://wa.me/224621875301;https://www.google.com/maps?q=9.6710003,-13.5816729;;;;normale;à contacter
Sonfonia;Snack/bar café Yatt Centre;fast_food;+224622029350;https://wa.me/224622029350;https://www.google.com/maps?q=9.6689355,-13.5859058;;;;normale;à contacter
Taouyah / Ratoma;BK Style Fashion;clothes;+224621570626;https://wa.me/224621570626;https://www.google.com/maps?q=9.5814334,-13.6641203;;weezyklo22@gmail.com;;haute;à contacter
Taouyah / Ratoma;Restaurant big fataya;restaurant;+224622362006;https://wa.me/224622362006;https://www.google.com/maps?q=9.5848241,-13.6592411;;bigfatayasarl@gmail.com;;haute;à contacter
Taouyah / Ratoma;Garage Mr Malick;car_repair;+224624833733;https://wa.me/224624833733;https://www.google.com/maps?q=9.5711712,-13.6485111;;;;normale;à contacter
Taouyah / Ratoma;La brioche de Ratoma;restaurant;+224620845985;https://wa.me/224620845985;https://www.google.com/maps?q=9.5882887,-13.657015;;;;normale;à contacter
Taouyah / Ratoma;Papy trey store;clothes;+224620882855;https://wa.me/224620882855;https://www.google.com/maps?q=9.5860393,-13.658531;;;;normale;à contacter
Taouyah / Ratoma;Restaurant 6 Kilo;restaurant;+224628154416;https://wa.me/224628154416;https://www.google.com/maps?q=9.5760176,-13.6568528;;;;normale;à contacter
Taouyah / Ratoma;Restaurant Golden Food;restaurant;+224621042921;https://wa.me/224621042921;https://www.google.com/maps?q=9.5822141,-13.6628127;;;;normale;à contacter
Taouyah / Ratoma;Restaurant Togolais Deo Gratias;restaurant;+224664884639;https://wa.me/224664884639;https://www.google.com/maps?q=9.5822095,-13.6619967;;;;normale;à contacter
Taouyah / Ratoma;Restaurant chez Tony;restaurant;+224624695183;https://wa.me/224624695183;https://www.google.com/maps?q=9.5800618,-13.6635169;;;;normale;à contacter
Taouyah / Ratoma;garage Ibrahim;car_repair;+224621024060;https://wa.me/224621024060;https://www.google.com/maps?q=9.5732715,-13.6463272;;;;normale;à contacter
Taouyah / Ratoma;Étalagiste;greengrocer;+224666535479;https://wa.me/224666535479;https://www.google.com/maps?q=9.566308,-13.6620571;;;;normale;à contacter
